Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
9/18/2017,3940.25,4369.65,3940.25,4340.75,4489.001584,18855057.78,4200.278708
9/17/2017,3963.44,4047.22,3749.75,3939.95,3783.090102,14779849.41,3906.819295
9/16/2017,4034.1,4210.85,3815.2,3965.55,4797.395352,19250004.58,4012.594995
9/15/2017,3507.95,4145.25,3325.2,4033.98,7896.269544,29242799.13,3703.36891
9/14/2017,4079.38,4138.45,3481.9,3507.85,7909.905452,30255898.41,3825.064483
9/13/2017,4302.45,4317.45,3958.45,4082.76,8197.27974,33760142.39,4118.456789
9/12/2017,4370.7,4546.75,4211.87,4302.45,5756.164276,25351361.82,4404.210965
9/11/2017,4411.7,4551.6,4304.35,4370.95,5298.132342,23318818.16,4401.327988
9/10/2017,4497.48,4503.95,4178.05,4409.7,6006.062408,26015229.96,4331.495112
9/9/2017,4477.7,4561.7,4338.75,4498.05,5133.465519,22904620.12,4461.82409
9/8/2017,4821.55,4884.15,4322.85,4484.05,6197.391979,28441885.4,4589.331367
9/7/2017,4802.83,4905.53,4667.95,4821.55,4450.970156,21408013.25,4809.74091
9/6/2017,4602.95,4860.23,4592.58,4802.09,8316.532036,39397611.5,4737.264443
9/5/2017,4407.4,4700,4126.88,4602.95,9281.387774,41191040.61,4438.026037
9/4/2017,4704.7,4713.25,4254.85,4398.35,6797.910424,30390899.49,4470.623706
9/3/2017,4630.95,4793.85,4438.14,4702.95,5412.972693,25130889.93,4642.715076
9/2/2017,4971.65,5032.55,4504.65,4628.2,5970.275334,28289190.92,4738.339412
9/1/2017,4794.95,4982.25,4731.05,4967.85,7578.809941,36816456.67,4857.815007
8/31/2017,4631.95,4822.85,4630.45,4797.18,5542.050135,26292236.37,4744.135425
8/30/2017,4649.84,4705.95,4548.81,4631.95,4732.193905,21923386.96,4632.816702
8/29/2017,4467.5,4713.85,4422.2,4651.35,5759.069997,26248162.33,4557.70851
8/28/2017,4379.95,4480.55,4360.85,4467.45,2954.627569,13054884.19,4418.453386
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
